iter	Passed	Remaining
404	1742	2559
405	1743	2551
406	1745	2542
407	1746	2533
408	1747	2525
409	1748	2516
410	1750	2508
411	1751	2499
412	1752	2491
413	1755	2485
414	1757	2477
415	1758	2468
416	1759	2460
417	1761	2452
418	1762	2443
419	1763	2435
420	1764	2427
421	1766	2419
422	1768	2412
423	1770	2405
424	1772	2397
425	1773	2389
426	1775	2381
427	1776	2373
428	1777	2365
429	1778	2358
430	1780	2350
431	1781	2342
432	1782	2334
433	1785	2328
434	1786	2320
435	1788	2313
436	1789	2305
437	1790	2297
438	1792	2290
439	1793	2282
440	1794	2274
441	1795	2267
442	1797	2260
443	1800	2255
444	1802	2247
445	1803	2240
446	1804	2232
447	1806	2225
448	1808	2219
449	1810	2212
450	1817	2212
451	1818	2205
452	1820	2197
453	1821	2190
454	1822	2183
455	1823	2175
456	1825	2168
457	1826	2161
458	1827	2154
459	1830	2149
460	1832	2142
461	1833	2135
462	1835	2128
463	1836	2121
464	1837	2114
465	1839	2107
466	1840	2100
467	1841	2093
468	1842	2086
469	1844	2080
470	1846	2074
471	1848	2067
472	1849	2060
473	1850	2053
474	1852	2047
475	1853	2040
476	1854	2033
477	1856	2026
478	1857	2020
479	1858	2013
480	1862	2009
481	1864	2003
482	1866	1998
483	1868	1991
484	1869	1985
485	1871	1979
486	1873	1973
487	1884	1977
488	1888	1973
489	1891	1968
490	1892	1962
491	1895	1956
492	1896	1950
493	1897	1943
494	1906	1945
495	1910	1940
496	1911	1934
497	1914	1930
498	1917	1924
499	1921	1921
500	1922	1914
501	1923	1908
502	1924	1901
503	1926	1895
504	1927	1889
505	1929	1883
506	1930	1877
507	1931	1870
508	1933	1865
509	1935	1859
510	1937	1853
511	1938	1847
512	1939	1841
513	1941	1835
514	1942	1829
515	1943	1823
516	1945	1817
517	1946	1811
518	1947	1805
519	1950	1800
520	1951	1794
521	1952	1788
522	1954	1782
523	1955	1776
524	1956	1770
525	1958	1764
526	1959	1758
527	1960	1752
528	1961	1746
529	1963	1741
530	1965	1736
531	1967	1731
532	1969	1725
533	1971	1720
534	1973	1715
535	1975	1710
536	1977	1704
537	1979	1699
538	1984	1697
539	1986	1691
540	1987	1686
541	1989	1681
542	1992	1677
543	1997	1674
544	1999	1669
545	2001	1664
546	2003	1659
547	2005	1654
548	2007	1649
549	2010	1644
550	2011	1639
551	2013	1633
552	2014	1628
553	2015	1622
554	2017	1617
555	2018	1611
556	2019	1606
557	2020	1600
558	2022	1595
559	2023	1590
560	2025	1585
561	2027	1579
562	2028	1574
563	2029	1569
564	2031	1563
565	2032	1558
566	2033	1553
567	2034	1547
568	2036	1542
569	2037	1537
570	2038	1531
571	2041	1527
572	2042	1522
573	2044	1516
574	2045	1511
575	2046	1506
576	2047	1501
577	2049	1496
578	2050	1490
579	2051	1485
580	2053	1480
581	2055	1476
582	2057	1471
583	2058	1466
584	2059	1461
585	2061	1456
586	2062	1451
587	2063	1446
588	2065	1441
589	2066	1436
590	2067	1431
591	2071	1427
592	2075	1424
593	2078	1420
594	2080	1416
595	2081	1411
596	2083	1406
597	2086	1402
598	2090	1399
599	2092	1394
600	2093	1390
601	2095	1385
602	2096	1380
603	2097	1375
604	2099	1370
605	2102	1367
606	2103	1362
607	2105	1357
608	2106	1352
609	2107	1347
610	2109	1342
611	2110	1337
612	2111	1333
613	2112	1328
614	2115	1324
615	2117	1319
616	2118	1315
617	2119	1310
618	2121	1305
619	2122	1300
620	2123	1296
621	2125	1291
622	2126	1286
623	2127	1282
624	2130	1278
625	2131	1273
626	2133	1269
627	2134	1264
628	2135	1259
629	2137	1255
630	2138	1250
631	2139	1245
632	2140	1241
633	2142	1236
634	2143	1232
635	2146	1228
636	2147	1223
637	2148	1219
638	2149	1214
639	2151	1210
640	2152	1205
641	2153	1201
642	2155	1196
643	2156	1191
644	2157	1187
645	2159	1183
646	2161	1179
647	2162	1174
648	2163	1170
649	2165	1165
650	2166	1161
651	2167	1156
652	2168	1152
653	2170	1148
654	2171	1143
655	2172	1139
656	2174	1135
657	2176	1131
658	2178	1127
659	2179	1122
660	2181	1118
661	2184	1115
662	2185	1111
663	2187	1106
664	2188	1102
665	2191	1098
666	2192	1094
667	2194	1090
668	2195	1086
669	2196	1081
670	2198	1077
671	2199	1073
672	2201	1069
673	2203	1065
674	2209	1063
675	2210	1059
676	2212	1055
677	2214	1051
678	2216	1047
679	2217	1043
680	2221	1040
681	2223	1036
682	2224	1032
683	2225	1028
684	2227	1024
685	2228	1020
686	2229	1015
687	2231	1011
688	2232	1007
689	2236	1004
690	2239	1001
691	2241	997
692	2243	993
693	2244	989
694	2246	986
695	2248	982
696	2252	979
697	2253	975
698	2255	971
699	2257	967
700	2258	963
701	2260	959
702	2262	955
703	2263	951
704	2266	948
705	2268	944
706	2270	941
707	2272	937
708	2274	933
709	2276	929
710	2278	926
711	2283	923
712	2284	919
713	2285	915
714	2287	911
715	2288	907
716	2289	903
717	2291	899
718	2293	896
719	2298	893
720	2302	890
721	2304	887
722	2306	883
723	2308	879
724	2312	877
725	2315	873
726	2317	870
727	2318	866
728	2320	862
729	2321	858
730	2322	854
731	2323	850
732	2325	847
733	2326	843
734	2328	839
735	2329	835
736	2330	831
737	2332	827
738	2333	824
739	2334	820
740	2335	816
741	2337	812
742	2338	808
743	2340	805
744	2341	801
745	2342	797
746	2344	793
747	2345	790
748	2346	786
749	2348	782
750	2349	778
751	2350	775
752	2351	771
753	2353	767
754	2354	764
755	2355	760
756	2357	756
757	2358	752
758	2359	749
759	2361	745
760	2362	741
761	2363	738
762	2364	734
763	2367	731
764	2368	727
765	2370	724
766	2372	720
767	2373	717
768	2374	713
769	2376	709
770	2377	706
771	2378	702
772	2380	699
773	2381	695
774	2383	691
775	2384	688
776	2385	684
777	2387	681
778	2388	677
779	2389	674
780	2391	670
781	2392	666
782	2393	663
783	2394	659
784	2396	656
785	2397	652
786	2398	649
787	2400	645
788	2401	642
789	2402	638
790	2404	635
791	2405	631
792	2406	628
793	2408	624
794	2409	621
795	2410	617
796	2412	614
797	2413	610
798	2414	607
799	2416	604
800	2417	600
801	2419	597
802	2421	593
803	2422	590
804	2424	587
805	2426	584
806	2428	580
807	2430	577
808	2434	574
809	2435	571
810	2437	567
811	2438	564
812	2439	561
813	2441	557
814	2442	554
815	2443	551
816	2445	547
817	2449	544
818	2451	541
819	2453	538
820	2454	535
821	2456	532
822	2459	528
823	2460	525
824	2464	522
825	2465	519
826	2467	516
827	2468	512
828	2469	509
829	2471	506
830	2472	502
831	2473	499
832	2475	496
833	2477	493
834	2480	490
835	2481	486
836	2483	483
837	2484	480
838	2485	476
839	2487	473
840	2488	470
841	2489	467
842	2490	463
843	2493	460
844	2495	457
845	2496	454
846	2497	451
847	2499	447
848	2500	444
849	2501	441
850	2502	438
851	2504	435
852	2505	431
853	2506	428
854	2509	425
855	2510	422
856	2511	419
857	2513	415
858	2514	412
859	2516	409
860	2517	406
861	2518	403
862	2520	400
863	2521	396
864	2523	393
865	2525	390
866	2527	387
867	2528	384
868	2529	381
869	2531	378
870	2532	375
871	2533	371
872	2534	368
873	2536	365
874	2539	362
875	2541	359
876	2543	356
877	2544	353
878	2545	350
879	2547	347
880	2548	344
881	2549	341
882	2550	338
883	2552	334
884	2555	332
885	2557	329
886	2559	326
887	2561	323
888	2563	320
889	2565	317
890	2566	314
891	2569	311
892	2571	308
893	2572	305
894	2573	301
895	2575	298
896	2576	295
897	2577	292
898	2579	289
899	2580	286
900	2581	283
901	2583	280
902	2585	277
903	2587	274
904	2588	271
905	2589	268
906	2590	265
907	2592	262
908	2593	259
909	2594	256
910	2596	253
911	2597	250
912	2601	247
913	2603	244
914	2605	242
915	2607	239
916	2608	236
917	2609	233
918	2611	230
919	2612	227
920	2614	224
921	2616	221
922	2617	218
923	2618	215
924	2620	212
925	2621	209
926	2622	206
927	2624	203
928	2626	200
929	2629	197
930	2631	195
931	2632	192
932	2634	189
933	2635	186
934	2636	183
935	2638	180
936	2639	177
937	2640	174
938	2642	171
939	2644	168
940	2645	165
941	2647	162
942	2648	160
943	2649	157
944	2651	154
945	2652	151
946	2653	148
947	2655	145
948	2656	142
949	2657	139
950	2660	137
951	2661	134
952	2662	131
953	2664	128
954	2665	125
955	2666	122
956	2668	119
957	2669	117
958	2670	114
959	2671	111
960	2673	108
961	2675	105
962	2676	102
963	2677	100
964	2679	97
965	2680	94
966	2681	91
967	2683	88
968	2684	85
969	2685	83
970	2687	80
971	2689	77
972	2691	74
973	2692	71
974	2693	69
975	2695	66
976	2696	63
977	2697	60
978	2698	57
979	2700	55
980	2701	52
981	2703	49
982	2705	46
983	2706	44
984	2708	41
985	2709	38
986	2710	35
987	2711	32
988	2713	30
989	2714	27
990	2715	24
991	2717	21
992	2718	19
993	2720	16
994	2721	13
995	2723	10
996	2724	8
997	2725	5
998	2727	2
999	2728	0
