iter	RMSE
0	1.068266865
1	1.05770846
2	1.046381132
3	1.038065622
4	1.030442564
5	1.021078566
6	1.011819027
7	1.003404925
8	0.9953788918
9	0.986694181
10	0.9786626344
11	0.9716535264
12	0.9622216382
13	0.9538520522
14	0.9472508132
15	0.9420230065
16	0.9364434913
17	0.9318437349
18	0.9251981483
19	0.9211254581
20	0.9150255357
21	0.9093718567
22	0.9034874631
23	0.8996741289
24	0.8932003532
25	0.8865357543
26	0.8824135969
27	0.8773450848
28	0.8727984405
29	0.8698628077
30	0.8660940896
31	0.8616444134
32	0.8562327205
33	0.8518973623
34	0.8474848107
35	0.8439712218
36	0.8400623407
37	0.8366983644
38	0.8333058914
39	0.8303291822
40	0.8261959151
41	0.8204238519
42	0.8175281446
43	0.8140111572
44	0.8101053419
45	0.8062873782
46	0.8029424184
47	0.8010864322
48	0.7990790604
49	0.7958801848
50	0.7928609405
51	0.7905539157
52	0.7887236427
53	0.7851728008
54	0.7824743806
55	0.7806250343
56	0.778193393
57	0.7746728159
58	0.7719485147
59	0.7703284463
60	0.7676384862
61	0.7651357527
62	0.7625158324
63	0.7595692337
64	0.7567946673
65	0.7542518949
66	0.7508635629
67	0.7493692635
68	0.7476344907
69	0.745222066
70	0.7411059663
71	0.7379738169
72	0.7348083218
73	0.733885875
74	0.7325530916
75	0.731658491
76	0.7311654878
77	0.7285696845
78	0.726708762
79	0.7246908461
80	0.7237889519
81	0.7226420517
82	0.7214530846
83	0.7204865171
84	0.7183441386
85	0.716008317
86	0.7145801994
87	0.7131439957
88	0.7118219043
89	0.7098159566
90	0.707163887
91	0.7065670271
92	0.7051555688
93	0.7045842404
94	0.7036218991
95	0.7020131236
96	0.6999869009
97	0.6980746881
98	0.6965995944
99	0.6952276022
100	0.6930931121
101	0.6921748461
102	0.6911950302
103	0.689903918
104	0.6894274554
105	0.6889629206
106	0.6862409324
107	0.6833605886
108	0.6814739773
109	0.680196031
110	0.6795848675
111	0.6776037735
112	0.6754108517
113	0.6740092414
114	0.6724542344
115	0.671685496
116	0.669361826
117	0.6681562087
118	0.6668399446
119	0.6651044085
120	0.6634821822
121	0.6619303603
122	0.6600356022
123	0.6581672284
124	0.6564977073
125	0.6548047068
126	0.6531949731
127	0.6518495399
128	0.6508822939
129	0.6508183959
130	0.6491133802
131	0.6483068709
132	0.6482470517
133	0.6470999192
134	0.6466627539
135	0.6449066209
136	0.6434741888
137	0.6415894332
138	0.6400899155
139	0.6377794215
140	0.6360798838
141	0.6357026935
142	0.63435046
143	0.6332223779
144	0.6331709553
145	0.6321924678
146	0.6313265214
147	0.6305552181
148	0.6305095577
149	0.629444985
150	0.6288876164
151	0.6272042054
152	0.6250883822
153	0.6247198612
154	0.6235160402
155	0.6218065905
156	0.6202567995
157	0.6197259039
158	0.6180469332
159	0.6169964846
160	0.6156258241
161	0.6143559437
162	0.6128744434
163	0.6126078437
164	0.6113850359
165	0.61125046
166	0.6098428562
167	0.6094135817
168	0.6080062252
169	0.60662692
170	0.605594332
171	0.6042149615
172	0.6031427249
173	0.602102961
174	0.6004137924
175	0.599189385
176	0.5983548336
177	0.5969189133
178	0.5955274154
179	0.5942154468
180	0.5927350879
181	0.5916313294
182	0.5912443639
183	0.5905754704
184	0.5896741839
185	0.5888111097
186	0.5875834229
187	0.5859466586
188	0.5845075045
189	0.582781012
190	0.5815877525
191	0.580317474
192	0.5802941764
193	0.5795551894
194	0.5790289215
195	0.5777690955
196	0.5763739884
197	0.5756411164
198	0.5743220118
199	0.5737582698
200	0.5726014369
201	0.5720720526
202	0.5708691325
203	0.5704727368
204	0.5697439822
205	0.5693693797
206	0.567772861
207	0.5671807227
208	0.5668369836
209	0.5664254268
210	0.5650671041
211	0.5647010911
212	0.5631567922
213	0.5616981975
214	0.5603661145
215	0.559233644
216	0.5579136214
217	0.5574753458
218	0.5572252954
219	0.5560978899
220	0.5553771507
221	0.5551566881
222	0.5549395772
223	0.5545511057
224	0.5530942066
225	0.5528782099
226	0.5519992401
227	0.5507827613
228	0.5502820032
229	0.5496344741
230	0.5485782834
231	0.547962449
232	0.5478146495
233	0.5471176263
234	0.5461468514
235	0.545168648
236	0.5438773278
237	0.5437361072
238	0.5433876233
239	0.5421167421
240	0.5419284057
241	0.5407231731
242	0.540533019
243	0.5402777385
244	0.5399161368
245	0.5395948585
246	0.538885365
247	0.5385449636
248	0.5383695147
249	0.5374024583
250	0.5372764022
251	0.5371334687
252	0.5363024121
253	0.5361133602
254	0.5359522164
255	0.5358298026
256	0.5352981609
257	0.5349296706
258	0.5346023992
259	0.5343649505
260	0.5332560497
261	0.5330947038
262	0.5322904455
263	0.5321882087
264	0.5319523806
265	0.5317019195
266	0.5314518962
267	0.5302522702
268	0.5300257842
269	0.5291464716
270	0.528462663
271	0.5278136064
272	0.5268114066
273	0.5266544247
274	0.5264183003
275	0.5254239005
276	0.5243899793
277	0.5242274082
278	0.523695062
279	0.5226516705
280	0.5223313576
281	0.5213045249
282	0.5201241843
283	0.5199129206
284	0.519486178
285	0.518151384
286	0.5180067337
287	0.5172651165
288	0.5171751955
289	0.5170419419
290	0.5157452335
291	0.5156056267
292	0.5143699144
293	0.5143091247
294	0.5142046131
295	0.514058595
296	0.5139208596
297	0.513033862
298	0.5129502707
299	0.5128216233
300	0.5126409038
301	0.5117866415
302	0.5116795981
303	0.5116013741
304	0.5105383188
305	0.5095949051
306	0.5094341978
307	0.508710022
308	0.5081935315
309	0.5077038811
310	0.5076220936
311	0.5067179978
312	0.5053791914
313	0.5052652339
314	0.5051535607
315	0.5049598424
316	0.5048721055
317	0.5035995766
318	0.5028046158
319	0.5026837099
320	0.5024364578
321	0.5016068391
322	0.5008620785
323	0.4999926503
324	0.499677073
325	0.499560767
326	0.4987233649
327	0.4982545273
328	0.4979869983
329	0.4977378889
330	0.4976251574
331	0.497378225
332	0.496809977
